bench,config,threads,wall_ms,iterations
cpp_compute,O2,1,6.6741,20000000
cpp_compute,O2,1,6.5652,20000000
cpp_compute,O2,1,6.7987,20000000
cpp_compute,O2,1,6.5861,20000000
cpp_compute,O2,1,6.667,20000000
cpp_compute,O3,1,6.8088,20000000
cpp_compute,O3,1,6.7716,20000000
cpp_compute,O3,1,7.03,20000000
cpp_compute,O3,1,6.6713,20000000
cpp_compute,O3,1,6.5181,20000000
cpp_compute,O2,4,2.4077,20000000
cpp_compute,O2,4,2.2784,20000000
cpp_compute,O2,4,2.3845,20000000
cpp_compute,O2,4,2.145,20000000
cpp_compute,O2,4,2.6991,20000000
cpp_compute,O3,4,2.3498,20000000
cpp_compute,O3,4,2.1227,20000000
cpp_compute,O3,4,2.3286,20000000
cpp_compute,O3,4,2.0893,20000000
cpp_compute,O3,4,2.2992,20000000
cpp_compute,O2,8,1.765,20000000
cpp_compute,O2,8,2.6425,20000000
cpp_compute,O2,8,2.5732,20000000
cpp_compute,O2,8,2.0224,20000000
cpp_compute,O2,8,2.2241,20000000
cpp_compute,O3,8,2.2398,20000000
cpp_compute,O3,8,2.2962,20000000
cpp_compute,O3,8,1.8054,20000000
cpp_compute,O3,8,2.8142,20000000
cpp_compute,O3,8,2.1096,20000000
cpp_compute,O2,1,6.5837,20000000
cpp_compute,O2,1,6.523,20000000
cpp_compute,O2,1,6.5833,20000000
cpp_compute,O2,1,6.7892,20000000
cpp_compute,O2,1,6.8859,20000000
cpp_compute,O3,1,6.6313,20000000
cpp_compute,O3,1,6.9943,20000000
cpp_compute,O3,1,6.6249,20000000
cpp_compute,O3,1,6.9279,20000000
cpp_compute,O3,1,6.7756,20000000
cpp_compute,O2,4,3.45,20000000
cpp_compute,O2,4,2.8707,20000000
cpp_compute,O2,4,2.2506,20000000
cpp_compute,O2,4,2.0251,20000000
cpp_compute,O2,4,2.1194,20000000
cpp_compute,O3,4,2.3063,20000000
cpp_compute,O3,4,2.1793,20000000
cpp_compute,O3,4,2.5042,20000000
cpp_compute,O3,4,2.2875,20000000
cpp_compute,O3,4,2.3533,20000000
cpp_compute,O2,8,2.4683,20000000
cpp_compute,O2,8,1.7933,20000000
cpp_compute,O2,8,2.1014,20000000
cpp_compute,O2,8,2.1388,20000000
cpp_compute,O2,8,2.2729,20000000
cpp_compute,O3,8,1.979,20000000
cpp_compute,O3,8,2.0818,20000000
cpp_compute,O3,8,2.1443,20000000
cpp_compute,O3,8,1.8816,20000000
cpp_compute,O3,8,1.776,20000000
cpp_compute,O2,1,10.9482,20000000
cpp_compute,O2,1,6.7505,20000000
cpp_compute,O2,1,6.8034,20000000
cpp_compute,O2,1,7.4731,20000000
cpp_compute,O2,1,6.8681,20000000
cpp_compute,O3,1,9.7853,20000000
cpp_compute,O3,1,6.7901,20000000
cpp_compute,O3,1,6.5745,20000000
cpp_compute,O3,1,7.1058,20000000
cpp_compute,O3,1,7.066,20000000
cpp_compute,O2,4,2.6713,20000000
cpp_compute,O2,4,2.5117,20000000
cpp_compute,O2,4,2.7741,20000000
cpp_compute,O2,4,3.3642,20000000
cpp_compute,O2,4,2.1891,20000000
cpp_compute,O3,4,2.6516,20000000
cpp_compute,O3,4,2.932,20000000
cpp_compute,O3,4,2.5769,20000000
cpp_compute,O3,4,2.2658,20000000
cpp_compute,O3,4,2.9107,20000000
cpp_compute,O2,8,1.8468,20000000
cpp_compute,O2,8,2.6393,20000000
cpp_compute,O2,8,2.6419,20000000
cpp_compute,O2,8,1.8122,20000000
cpp_compute,O2,8,1.9323,20000000
cpp_compute,O3,8,2.1907,20000000
cpp_compute,O3,8,2.1719,20000000
cpp_compute,O3,8,1.8434,20000000
cpp_compute,O3,8,2.4075,20000000
cpp_compute,O3,8,2.2912,20000000
cpp_compute,O2,1,14.1389,42648253
cpp_compute,O2,1,14.2588,42648253
cpp_compute,O2,1,15.3121,42648253
cpp_compute,O2,1,29.2296,90000000
cpp_compute,O2,1,29.2016,90000000
cpp_compute,O2,1,29.0081,90000000
cpp_compute,O2,1,28.9727,90000000
cpp_compute,O2,1,29.2503,90000000
cpp_compute,O3,1,30.6954,90000000
cpp_compute,O3,1,28.6309,90000000
cpp_compute,O3,1,28.9107,90000000
cpp_compute,O3,1,29.2481,90000000
cpp_compute,O3,1,29.555,90000000
cpp_compute,O2,4,8.1499,90000000
cpp_compute,O2,4,7.6166,90000000
cpp_compute,O2,4,7.9028,90000000
cpp_compute,O2,4,7.6679,90000000
cpp_compute,O2,4,7.5336,90000000
cpp_compute,O3,4,7.8282,90000000
cpp_compute,O3,4,8.1989,90000000
cpp_compute,O3,4,15.4493,90000000
cpp_compute,O3,4,31.0322,90000000
cpp_compute,O3,4,12.9802,90000000
cpp_compute,O2,8,6.5194,90000000
cpp_compute,O2,8,6.9116,90000000
cpp_compute,O2,8,15.6903,90000000
cpp_compute,O2,8,7.9155,90000000
cpp_compute,O2,8,9.8913,90000000
cpp_compute,O3,8,12.7491,90000000
cpp_compute,O3,8,7.7514,90000000
cpp_compute,O3,8,7.3095,90000000
cpp_compute,O3,8,7.5512,90000000
cpp_compute,O3,8,6.8944,90000000
